cong,icpsr,statecode,state,party,name,ideo,role,x2,loglike,nvotes,classerrs,gmp,district
56,6439,23,MICHIGA,200,MESICK,0.39,,0.304,-3.856,48,1,0.923,11
56,8431,23,MICHIGA,200,SHELDEN,0.484,,0.011,-14.21955,103,8,0.871,12
56,9194,33,MINNESO,200,TAWNEY,0.303,W,0.064,-19.75646,99,7,0.819,1
56,6145,33,MINNESO,200,MCCLEARY,0.586,,0.349,-7.91218,87,1,0.913,2
56,4272,33,MINNESO,200,HEATWOLE,0.216,,-0.244,-25.08365,96,11,0.77,3
56,8908,33,MINNESO,200,STEVENS,0.553,,0.552,-8.17456,96,2,0.918,4
56,3218,33,MINNESO,200,FLETCHER,0.295,,-0.167,-22.38829,116,6,0.824,5
56,6713,33,MINNESO,200,MORRIS,0.4,,-0.159,-9.43475,101,4,0.911,6
56,2839,33,MINNESO,200,EDDY,0.509,,0.418,-8.22025,112,5,0.929,7
56,117,46,MISSISS,100,ALLEN  J.M.,-0.761,,0.649,-22.88579,62,8,0.691,1
56,8794,46,MISSISS,100,SPIGHT,-0.48,,0.279,-9.80374,71,5,0.871,2
56,1595,46,MISSISS,100,CATCHINGS,-0.475,,-0.114,-8.08704,37,1,0.804,3
56,3330,46,MISSISS,100,FOX,-0.556,,0.377,-6.24003,56,1,0.895,4
56,10165,46,MISSISS,100,WILLIAMS J.,-0.359,,0.704,-29.25197,124,17,0.79,5
56,6321,46,MISSISS,100,MCLAIN,-0.528,,0.389,-12.16418,106,6,0.892,6
56,4338,46,MISSISS,100,HENRY  P.,-0.511,,0.379,-17.68668,122,8,0.865,7
56,5727,34,MISSOUR,100,LLOYD,-0.492,,0.863,-13.12524,126,4,0.901,1
56,8103,34,MISSOUR,100,RUCKER,-0.416,,0.514,-16.29601,115,6,0.868,2
56,2683,34,MISSOUR,100,DOUGHERTY,-0.404,,0.535,-15.81165,121,4,0.878,3
56,1879,34,MISSOUR,100,COCHRAN,-0.356,,0.718,-12.14308,98,5,0.883,4
56,2106,34,MISSOUR,100,COWHERD,-0.418,,0.22,-24.45089,101,9,0.785,5
56,2453,34,MISSOUR,100,DEARMOND,-0.565,,0.825,-17.46355,129,6,0.873,6
56,2039,34,MISSOUR,100,COONEY,-0.564,,0.771,-11.35979,78,4,0.864,7
56,8390,34,MISSOUR,100,SHACKLEFORD,-0.527,,0.645,-10.95395,98,2,0.894,8
56,1769,34,MISSOUR,100,CLARK,-0.596,,0.803,-17.45107,117,6,0.861,9
56,482,34,MISSOUR,200,BARTHOLDT,0.356,,-0.713,-18.37136,91,10,0.817,10
56,5079,34,MISSOUR,200,JOY,0.374,,-0.63,-9.52752,97,5,0.906,11
56,7280,34,MISSOUR,200,PEARCE,0.495,,-0.688,-7.89559,76,4,0.901,12
56,7939,34,MISSOUR,100,ROBB,-0.422,,0.793,-9.55564,101,4,0.91,13
56,9608,34,MISSOUR,100,VANDIVER,-0.486,,0.871,-11.73774,90,5,0.878,14
56,657,34,MISSOUR,100,BENTON,-0.425,,0.872,-12.87644,102,5,0.881,15
56,1275,35,NEBRASK,200,BURKETT,0.286,,0.498,-30.68491,128,13,0.787,1
56,6416,35,NEBRASK,200,MERCER,0.517,,-0.039,-13.30452,95,7,0.869,2
56,7984,35,NEBRASK,100,ROBINSON,-0.413,,0.316,-13.01285,104,5,0.882,3
56,8850,35,NEBRASK,340,STARK,-0.419,,0.145,-17.68073,127,8,0.87,4
56,9097,35,NEBRASK,340,SUTHERLAND,-0.422,,0.506,-13.58455,113,5,0.887,5
56,6884,35,NEBRASK,340,NEVILLE,-0.425,,0.819,-10.06164,91,3,0.895,6
56,6897,65,NEVADA,1060,NEWLANDS,-0.342,,-0.139,-29.78507,85,12,0.704,1
56,9078,4,NEW HAM,200,SULLOWAY,0.503,,-0.323,-9.17439,104,5,0.916,1
56,1791,4,NEW HAM,200,CLARKE,0.531,,-0.004,-2.77294,64,1,0.958,2
56,5786,12,NEW JER,200,LOUDENSLAGE,0.326,,-0.509,-13.03659,86,4,0.859,1
56,3468,12,NEW JER,200,GARDNER  J.,0.45,,-0.667,-18.3808,109,6,0.845,2
56,4643,12,NEW JER,200,HOWELL,0.345,,-0.161,-10.94136,97,6,0.893,3
56,8182,12,NEW JER,100,SALMON,-0.289,,0.089,-23.53585,93,11,0.776,4
56,8937,12,NEW JER,200,STEWART J.F,0.501,,0.168,-13.13892,75,8,0.839,5
56,7203,12,NEW JER,200,PARKER,0.927,,0.376,-12.89915,87,7,0.862,6
56,2309,12,NEW JER,100,DALY,-0.298,,-0.42,-11.66646,49,4,0.788,7
56,3322,12,NEW JER,200,FOWLER,0.409,,-0.666,-6.79045,69,3,0.906,8
56,8326,13,NEW YOR,100,SCUDDER,-0.151,,-0.112,-32.04615,88,17,0.695,1
56,3183,13,NEW YOR,100,FITZGERALD,-0.444,,-0.896,-25.41287,107,11,0.789,2
56,2727,13,NEW YOR,100,DRIGGS,-0.212,,-0.743,-12.85643,75,5,0.842,3
56,1819,13,NEW YOR,100,CLAYTON B.T,-0.253,,-0.665,-30.41536,107,14,0.753,4
56,10220,13,NEW YOR,100,WILSON  F.,-0.223,,-0.711,-16.80393,77,7,0.804,5
56,6104,13,NEW YOR,100,MAY,-0.528,,-0.491,-10.10745,64,4,0.854,6
56,6789,13,NEW YOR,100,MULLER,-0.278,,-0.207,-10.60228,64,5,0.847,7
56,7911,13,NEW YOR,100,RIORDAN,-0.508,,-0.798,-6.73252,59,3,0.892,8
56,957,13,NEW YOR,100,BRADLEY,-0.298,,-0.332,-3.84486,40,1,0.908,9
56,2248,13,NEW YOR,100,CUMMINGS,-0.153,,-0.677,-15.70224,85,7,0.831,10
56,9080,13,NEW YOR,100,SULZER,-0.2,,-0.408,-17.74135,87,10,0.816,11
56,6150,13,NEW YOR,100,MCCLELLAN,-0.483,,-0.875,-14.47662,95,6,0.859,12
56,5627,13,NEW YOR,100,LEVY,-0.261,,-0.955,-21.30308,69,9,0.734,13
56,1646,13,NEW YOR,100,CHANLER,-0.278,,-0.455,-13.57832,48,7,0.754,14
56,8117,13,NEW YOR,100,RUPPERT,-0.297,,-0.792,-17.77947,79,10,0.798,15
56,9555,13,NEW YOR,100,UNDERHILL,-0.165,,-0.946,-14.97398,52,5,0.75,16
56,9413,13,NEW YOR,200,TOMPKINS,0.353,,-0.283,-6.13171,57,3,0.898,17
56,5219,13,NEW YOR,200,KETCHAMS,0.404,,-0.086,-10.75712,81,7,0.876,18
56,1884,13,NEW YOR,200,COCHRANE,0.421,,-0.149,-10.26472,104,3,0.906,19
56,3638,13,NEW YOR,100,GLYNN,-0.26,,-0.607,-19.81896,107,7,0.831,20
56,8942,13,NEW YOR,200,STEWART J.K,0.664,,0.064,-6.12833,77,2,0.923,21
56,5697,13,NEW YOR,200,LITTAUER,0.782,,0.341,-7.95588,65,4,0.885,22
56,2960,13,NEW YOR,200,EMERSON,0.471,,-0.334,-8.57639,87,4,0.906,23
56,8414,13,NEW YOR,200,SHAW,0.505,,0.307,-2.47836,29,1,0.918,24
56,8453,13,NEW YOR,200,SHERMAN,0.276,,-0.4,-13.72201,75,7,0.833,25
56,7748,13,NEW YOR,200,RAY,0.558,,0.24,-14.66337,121,2,0.886,26
56,2731,13,NEW YOR,200,DRISCOLL,0.287,,0.933,-20.38984,77,10,0.767,27
56,7273,13,NEW YOR,200,PAYNE,0.637,L,0.117,-10.29522,130,4,0.924,28
56,3597,13,NEW YOR,200,GILLET  C.W,0.516,,-0.136,-4.17457,80,0,0.949,29
56,9704,13,NEW YOR,200,WADSWORTH,0.729,,-0.685,-9.65752,70,5,0.871,30
56,7039,13,NEW YOR,200,O'GRADY,0.466,,0.125,-10.79816,94,6,0.891,31
56,8160,13,NEW YOR,100,RYAN W  H.,-0.357,,-0.428,-17.00021,120,5,0.868,32
56,79,13,NEW YOR,200,ALEXANDER,0.492,,-0.305,-8.64803,108,3,0.923,33
56,9691,13,NEW YOR,200,VREELAND,0.561,,-0.001,-8.37306,108,3,0.925,34
56,8588,47,NORTH C,100,SMALL,-0.445,,-0.055,-15.90146,57,3,0.757,1
56,10025,47,NORTH C,200,WHITE,0.328,,-0.622,-12.04062,79,6,0.859,2
56,9287,47,NORTH C,100,THOMAS C.R.,-0.374,,-0.288,-18.41791,107,10,0.842,3
56,288,47,NORTH C,340,ATWATER,-0.689,,0.717,-10.98009,110,3,0.905,4
56,5309,47,NORTH C,100,KITCHIN,-0.866,,0.5,-13.00751,123,5,0.9,5
56,615,47,NORTH C,100,BELLAMY,-0.372,,-0.248,-14.2286,91,5,0.855,6
56,5327,47,NORTH C,100,KLUTTZ,-0.436,,0.19,-17.77401,107,11,0.847,7
56,5690,47,NORTH C,200,LINNEY,0.676,,0.263,-19.71569,81,10,0.784,8
56,2166,47,NORTH C,100,CRAWFORD,-0.362,,0.932,-11.07244,39,5,0.753,9
56,7289,47,NORTH C,200,PEARSON,0.24,,-0.312,-4.34669,41,2,0.899,9
56,8758,36,NORTH D,200,SPALDING,0.301,,0.294,-19.29513,102,11,0.828,1
56,8412,24,OHIO,200,SHATTUC,0.562,,-0.115,-9.43957,113,2,0.92,1
56,1065,24,OHIO,200,BROMWELL,0.631,,0.646,-20.91871,101,9,0.813,2
56,1006,24,OHIO,100,BRENNER,-0.306,,-0.045,-18.39621,90,13,0.815,3
56,3698,24,OHIO,100,GORDON,-0.285,,-0.488,-26.18889,97,13,0.763,4
56,6405,24,OHIO,100,MEEKISON,-0.191,,-0.167,-26.68724,100,12,0.766,5
56,1133,24,OHIO,200,BROWN,0.323,,0.207,-15.38783,124,7,0.883,6
56,9896,24,OHIO,200,WEAVER,0.404,,0.085,-15.05926,106,9,0.868,7
56,5845,24,OHIO,200,LYBRAND,0.389,,-0.314,-12.07641,110,8,0.896,8
56,8750,24,OHIO,200,SOUTHARD,0.508,,0.222,-12.30681,92,5,0.875,9
56,6684,24,OHIO,200,MORGAN,0.376,,0.278,-8.41225,89,3,0.91,10
56,3855,24,OHIO,200,GROSVENOR,0.385,,-0.724,-15.51211,109,9,0.867,11
56,5609,24,OHIO,100,LENTZ,-0.355,,-0.09,-8.82355,78,2,0.893,12
56,6969,24,OHIO,100,NORTONJ  H.,-0.2,,-0.194,-24.18548,75,9,0.724,13
56,5214,24,OHIO,200,KERR,0.632,,-0.29,-3.80499,58,2,0.937,14
56,9638,24,OHIO,200,VANVOORHIS,0.541,,0.22,-11.32232,105,4,0.898,15
56,3588,24,OHIO,200,GILL,0.31,,0.633,-22.82419,90,10,0.776,16
56,6227,24,OHIO,100,MCDOWELL,-0.311,,-0.005,-18.66162,85,10,0.803,17
56,9195,24,OHIO,200,TAYLER,0.513,,-0.04,-5.95336,92,2,0.937,18
56,2555,24,OHIO,200,DICK,0.518,,-0.112,-7.54154,99,3,0.927,19
56,7412,24,OHIO,200,PHILLIPS,0.241,,0.324,-19.06373,102,8,0.83,20
56,1322,24,OHIO,200,BURTON,0.711,,0.704,-25.33207,104,11,0.784,21
56,9420,72,OREGON,200,TONGUE,0.346,,0.933,-13.10295,86,5,0.859,1
