"cong","icpsr","statecode","state","name","ideo","role","x2","leader","party","last_ideo","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif"
56,1275,35,"NEBRASK","BURKETT",0.286,"",0.498,"N","R",NA,0.459685863874346,NA,NA,0.173685863874346
56,6416,35,"NEBRASK","MERCER",0.517,"",-0.039,"N","R",NA,0.459685863874346,NA,NA,-0.0573141361256544
56,9078,4,"NEW HAM","SULLOWAY",0.503,"",-0.323,"N","R",NA,0.459685863874346,NA,NA,-0.0433141361256544
56,1791,4,"NEW HAM","CLARKE",0.531,"",-0.004,"N","R",NA,0.459685863874346,NA,NA,-0.0713141361256545
56,5786,12,"NEW JER","LOUDENSLAGE",0.326,"",-0.509,"N","R",NA,0.459685863874346,NA,NA,0.133685863874346
56,3468,12,"NEW JER","GARDNER  J.",0.45,"",-0.667,"N","R",NA,0.459685863874346,NA,NA,0.00968586387434556
56,4643,12,"NEW JER","HOWELL",0.345,"",-0.161,"N","R",NA,0.459685863874346,NA,NA,0.114685863874346
56,8937,12,"NEW JER","STEWART J.F",0.501,"",0.168,"N","R",NA,0.459685863874346,NA,NA,-0.0413141361256544
56,7203,12,"NEW JER","PARKER",0.927,"",0.376,"N","R",NA,0.459685863874346,NA,NA,-0.467314136125654
56,3322,12,"NEW JER","FOWLER",0.409,"",-0.666,"N","R",NA,0.459685863874346,NA,NA,0.0506858638743456
56,9413,13,"NEW YOR","TOMPKINS",0.353,"",-0.283,"N","R",NA,0.459685863874346,NA,NA,0.106685863874346
56,5219,13,"NEW YOR","KETCHAMS",0.404,"",-0.086,"N","R",NA,0.459685863874346,NA,NA,0.0556858638743455
56,1884,13,"NEW YOR","COCHRANE",0.421,"",-0.149,"N","R",NA,0.459685863874346,NA,NA,0.0386858638743456
56,8942,13,"NEW YOR","STEWART J.K",0.664,"",0.064,"N","R",NA,0.459685863874346,NA,NA,-0.204314136125654
56,5697,13,"NEW YOR","LITTAUER",0.782,"",0.341,"N","R",NA,0.459685863874346,NA,NA,-0.322314136125654
56,2960,13,"NEW YOR","EMERSON",0.471,"",-0.334,"N","R",NA,0.459685863874346,NA,NA,-0.0113141361256544
56,8414,13,"NEW YOR","SHAW",0.505,"",0.307,"N","R",NA,0.459685863874346,NA,NA,-0.0453141361256544
56,8453,13,"NEW YOR","SHERMAN",0.276,"",-0.4,"N","R",NA,0.459685863874346,NA,NA,0.183685863874346
56,7748,13,"NEW YOR","RAY",0.558,"",0.24,"N","R",NA,0.459685863874346,NA,NA,-0.0983141361256545
56,2731,13,"NEW YOR","DRISCOLL",0.287,"",0.933,"N","R",NA,0.459685863874346,NA,NA,0.172685863874346
56,7273,13,"NEW YOR","PAYNE",0.637,"L",0.117,"Y","R",NA,0.459685863874346,NA,NA,-0.177314136125654
56,3597,13,"NEW YOR","GILLET  C.W",0.516,"",-0.136,"N","R",NA,0.459685863874346,NA,NA,-0.0563141361256544
56,9704,13,"NEW YOR","WADSWORTH",0.729,"",-0.685,"N","R",NA,0.459685863874346,NA,NA,-0.269314136125654
56,7039,13,"NEW YOR","O'GRADY",0.466,"",0.125,"N","R",NA,0.459685863874346,NA,NA,-0.00631413612565446
56,79,13,"NEW YOR","ALEXANDER",0.492,"",-0.305,"N","R",NA,0.459685863874346,NA,NA,-0.0323141361256544
56,9691,13,"NEW YOR","VREELAND",0.561,"",-0.001,"N","R",NA,0.459685863874346,NA,NA,-0.101314136125654
56,10025,47,"NORTH C","WHITE",0.328,"",-0.622,"N","R",NA,0.459685863874346,NA,NA,0.131685863874346
56,5690,47,"NORTH C","LINNEY",0.676,"",0.263,"N","R",NA,0.459685863874346,NA,NA,-0.216314136125654
56,7289,47,"NORTH C","PEARSON",0.24,"",-0.312,"N","R",NA,0.459685863874346,NA,NA,0.219685863874346
56,8758,36,"NORTH D","SPALDING",0.301,"",0.294,"N","R",NA,0.459685863874346,NA,NA,0.158685863874346
56,8412,24,"OHIO","SHATTUC",0.562,"",-0.115,"N","R",NA,0.459685863874346,NA,NA,-0.102314136125654
56,1065,24,"OHIO","BROMWELL",0.631,"",0.646,"N","R",NA,0.459685863874346,NA,NA,-0.171314136125654
56,1133,24,"OHIO","BROWN",0.323,"",0.207,"N","R",NA,0.459685863874346,NA,NA,0.136685863874346
56,9896,24,"OHIO","WEAVER",0.404,"",0.085,"N","R",NA,0.459685863874346,NA,NA,0.0556858638743455
56,5845,24,"OHIO","LYBRAND",0.389,"",-0.314,"N","R",NA,0.459685863874346,NA,NA,0.0706858638743456
56,8750,24,"OHIO","SOUTHARD",0.508,"",0.222,"N","R",NA,0.459685863874346,NA,NA,-0.0483141361256544
56,6684,24,"OHIO","MORGAN",0.376,"",0.278,"N","R",NA,0.459685863874346,NA,NA,0.0836858638743456
56,3855,24,"OHIO","GROSVENOR",0.385,"",-0.724,"N","R",NA,0.459685863874346,NA,NA,0.0746858638743456
56,5214,24,"OHIO","KERR",0.632,"",-0.29,"N","R",NA,0.459685863874346,NA,NA,-0.172314136125654
