"cong","icpsr","statecode","district","state","name","ideo","x2","role","leader","party","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif","last_ideo"
68,2269,32,0,"KANSAS","CURTIS  C.",0.462,0.206,"WL","Y","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0642181818181818,0.436
68,1494,32,0,"KANSAS","CAPPER  A.",0.294,0.502,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.103781818181818,0.198
68,2983,51,0,"KENTUCK","ERNST  R.P.",0.563,0.23,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.165218181818182,0.512
68,3113,2,0,"MAINE","FERNALD  B.",0.399,-0.227,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.00121818181818184,0.526
68,3919,2,0,"MAINE","HALE  F.",0.385,-0.15,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0127818181818182,0.5
68,9936,52,0,"MARYLAN","WELLER  O.",0.302,-0.142,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0957818181818182,0.532
68,5738,3,0,"MASSACH","LODGE  H.C.",0.575,0,"LN","Y","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.177218181818182,0.422
68,1356,3,0,"MASSACH","BUTLER  W.",0.521,-0.316,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.123218181818182,NA
68,2095,23,0,"MICHIGA","COUZENS  J.",0.249,0.273,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.148781818181818,0.297
68,8790,34,0,"MISSOUR","SPENCER  S.",0.492,0.137,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0942181818181818,0.365
68,4654,35,0,"NEBRASK","HOWELL  R.",0.282,0.929,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.115781818181818,NA
68,6960,35,0,"NEBRASK","NORRIS  G.",0.12,0.956,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.277781818181818,0.009
68,7023,65,0,"NEVADA","ODDIE  T.L.",0.413,0.166,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0152181818181818,0.609
68,6750,4,0,"NEW HAM","MOSES  G.H.",0.438,-0.585,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0402181818181818,0.356
68,5227,4,0,"NEW HAM","KEYES  H.W.",0.45,-0.073,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0522181818181818,0.438
68,2844,12,0,"NEW JER","EDGE  W.E.",0.347,-0.58,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0507818181818182,0.512
68,1312,66,0,"NEW MEX","BURSUM  H.",0.591,0.447,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.193218181818182,0.656
68,9705,13,0,"NEW YOR","WADSWORTH",0.387,-0.746,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0107818181818182,0.415
68,3347,36,0,"NORTH D","FRAZIER  L.",0.079,0.915,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.318781818181818,NA
68,5393,36,0,"NORTH D","LADD  E.F.",0.127,0.269,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.270781818181818,0.211
68,3124,24,0,"OHIO","FESS  S.D.",0.632,0.57,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.234218181818182,NA
68,10203,24,0,"OHIO","WILLIS  F.",0.777,0.63,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.379218181818182,0.325
68,4092,53,0,"OKLAHOM","HARRELD  J.",0.389,0.524,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.00878181818181817,0.477
68,6367,72,0,"OREGON","MCNARY  C.",0.28,0.45,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.117781818181818,0.387
68,8834,72,0,"OREGON","STANFIELD",0.381,0.503,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0167818181818182,0.443
68,7782,14,0,"PENNSYL","REED  D.A.",0.418,-0.876,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0202181818181818,0.526
68,7334,14,0,"PENNSYL","PEPPER  G.",0.438,-0.359,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0402181818181818,0.538
68,1957,5,0,"RHODE I","COLT  L.B.",0.695,-0.004,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.297218181818182,0.455
68,6441,5,0,"RHODE I","METCALF  J.",0.503,-0.519,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.105218181818182,NA
68,6954,37,0,"SOUTH D","NORBECK  P.",0.272,0.962,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.125781818181818,0.286
68,8902,37,0,"SOUTH D","STERLING",0.675,0.73,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.277218181818182,0.281
68,8713,67,0,"UTAH","SMOOT  R.",0.374,-0.228,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0237818181818182,0.465
68,3789,6,0,"VERMONT","GREENE  F.",0.453,-0.714,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0552181818181818,NA
68,2302,6,0,"VERMONT","DALE  P.H.",0.331,0.024,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0667818181818182,NA
68,5065,73,0,"WASHING","JONES  W.L.",0.361,0.547,"NL","Y","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0367818181818182,0.259
68,2898,56,0,"WEST VI","ELKINS  D.",0.35,-0.202,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0477818181818182,0.494
68,5607,25,0,"WISCONS","LENROOT  I.",0.383,0.447,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0147818181818182,0.2
68,5401,25,0,"WISCONS","LAFOLLETTE",-0.038,0.815,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.435781818181818,-0.204
68,9842,68,0,"WYOMING","WARREN  F.",0.605,0.024,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.207218181818182,0.502
69,1436,61,0,"ARIZONA","CAMERON  R.",0.414,0.357,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,-0.00403448275862067,0.423
69,4962,71,0,"CALIFOR","JOHNSON  H.",0.217,0.92,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,0.192965517241379,0.125
69,8487,71,0,"CALIFOR","SHORTRIDGE",0.434,-0.031,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,-0.0240344827586207,0.353
69,6400,62,0,"COLORAD","MEANS  R.W.",0.373,0.119,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,0.0369655172413793,0.451
69,7422,62,0,"COLORAD","PHIPPS  L.",0.425,-0.473,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,-0.0150344827586207,0.543
69,6335,1,0,"CONNECT","MCLEAN  G.",0.47,-0.497,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,-0.0600344827586207,0.395
69,716,1,0,"CONNECT","BINGHAM  H.",0.607,-0.795,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,-0.197034482758621,0.486
69,2782,11,0,"DELAWAR","DUPONT  T.",0.422,-0.182,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,-0.0120344827586207,NA
69,3676,63,0,"IDAHO","GOODING  F.",0.357,0.504,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,0.0529655172413793,0.358
69,858,63,0,"IDAHO","BORAH  W.E.",0.261,0.965,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,0.148965517241379,0.212
69,6313,21,0,"ILLINOI","MCKINLEY",0.467,0.279,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,-0.0570344827586207,0.444
69,2494,21,0,"ILLINOI","DENEEN  C.",0.493,0.184,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,-0.0830344827586207,NA
69,9875,22,0,"INDIANA","WATSON  J.",0.526,0.406,"","N","R",0.409965517241379,0.0121836990595611,0.397781818181818,-0.116034482758621,0.591
