cong,icpsr,statecode,district,state,party,name,ideo,x2,loglike,nvotes,classerrs,gmp,role,power,leader
68,1436,61,0,ARIZONA,200,CAMERON  R.,0.423,0.27,-47.16463,180,18,0.769,,,
68,273,61,0,ARIZONA,100,ASHURST  H.,-0.147,0.371,-25.77209,148,11,0.84,,,
68,7986,42,0,ARKANSA,100,ROBINSON,-0.16,-0.493,-32.09198,151,9,0.809,L,,
68,1498,42,0,ARKANSA,100,CARAWAY  T.,-0.35,-0.853,-41.52679,162,15,0.774,,,
68,8487,71,0,CALIFOR,200,SHORTRIDGE,0.353,0.15,-29.85852,138,13,0.805,,,
68,4962,71,0,CALIFOR,200,JOHNSON  H.,0.125,0.636,-28.60015,132,17,0.805,,,
68,7422,62,0,COLORAD,200,PHIPPS  L.,0.543,-0.146,-34.24714,179,16,0.826,,,
68,22,62,0,COLORAD,100,ADAMS  A.B.,-0.034,-0.021,-39.37034,109,17,0.697,,,
68,6400,62,0,COLORAD,200,MEANS  R.W.,0.451,0.111,-15.61745,66,7,0.789,,,
68,6335,1,0,CONNECT,200,MCLEAN  G.,0.395,-0.154,-35.83712,150,15,0.787,,,
68,978,1,0,CONNECT,200,BRANDEGEE,0.427,0.037,-19.58283,106,7,0.831,,,
68,716,1,0,CONNECT,200,BINGHAM  H.,0.486,-0.874,-9.84753,65,4,0.859,,,
68,395,11,0,DELAWAR,200,BALL  L.H.,0.543,-0.17,-43.59507,162,26,0.764,,,
68,529,11,0,DELAWAR,100,BAYARD  T.,-0.043,-0.999,-55.78284,176,26,0.728,,,
68,3216,43,0,FLORIDA,100,FLETCHER,-0.305,-0.821,-51.09446,187,24,0.761,,,
68,9456,43,0,FLORIDA,100,TRAMMELL,-0.369,-0.491,-37.38258,160,16,0.792,,,
68,3536,44,0,GEORGIA,100,GEORGE  W.,-0.332,-0.827,-45.90048,180,20,0.775,,,
68,4120,44,0,GEORGIA,100,HARRIS  W.,-0.457,-0.625,-29.75617,170,14,0.839,,,
68,3676,63,0,IDAHO,200,GOODING  F.,0.358,0.591,-89.59212,178,41,0.605,,,
68,858,63,0,IDAHO,200,BORAH  W.E.,0.212,0.347,-118.22026,157,52,0.471,,,
68,6313,21,0,ILLINOI,200,MCKINLEY,0.444,0.248,-47.41651,168,23,0.754,,,
68,6181,21,0,ILLINOI,200,MCCORMICK,0.336,0.009,-16.24103,55,6,0.744,,,
68,9875,22,0,INDIANA,200,WATSON  J.,0.591,0.033,-26.9449,151,7,0.837,,,
68,7697,22,0,INDIANA,100,RALSTON  S.,-0.1,-0.134,-37.49877,154,16,0.784,,,
68,2252,31,0,IOWA,200,CUMMINS  A.,0.38,0.389,-48.56878,148,23,0.72,,,
68,1070,31,0,IOWA,200,BROOKHART,0.056,0.901,-39.05301,187,20,0.812,,,
68,2269,32,0,KANSAS,200,CURTIS  C.,0.462,0.206,-43.66313,184,22,0.789,WL,,
68,1494,32,0,KANSAS,200,CAPPER  A.,0.294,0.502,-56.37991,174,26,0.723,,,
68,2983,51,0,KENTUCK,200,ERNST  R.P.,0.563,0.23,-34.92551,133,18,0.769,,,
68,8838,51,0,KENTUCK,100,STANLEY  A.,-0.27,-0.654,-19.78415,102,8,0.824,,,
68,7734,45,0,LOUISIA,100,RANSDELL,-0.191,-0.613,-57.79211,155,25,0.689,,,
68,1091,45,0,LOUISIA,100,BROUSSARD,-0.173,-0.802,-49.7084,174,22,0.752,,,
68,3113,2,0,MAINE,200,FERNALD  B.,0.399,-0.227,-25.38413,130,13,0.823,,,
68,3919,2,0,MAINE,200,HALE  F.,0.385,-0.15,-39.67866,186,16,0.808,,,
68,1157,52,0,MARYLAN,100,BRUCE  W.C.,-0.061,-0.998,-66.59771,176,34,0.685,,,
68,9936,52,0,MARYLAN,200,WELLER  O.,0.302,-0.142,-46.51368,105,24,0.642,,,
68,9782,3,0,MASSACH,100,WALSH  D.I.,-0.007,-0.045,-82.2923,178,38,0.63,,,
68,5738,3,0,MASSACH,200,LODGE  H.C.,0.575,0,-21.8842,113,9,0.824,LN,,
68,1356,3,0,MASSACH,200,BUTLER  W.,0.521,-0.316,-15.09306,69,4,0.804,,,
68,2095,23,0,MICHIGA,200,COUZENS  J.,0.249,0.273,-47.20454,108,20,0.646,,,
68,3120,23,0,MICHIGA,100,FERRIS  W.,-0.043,-0.11,-57.81334,168,25,0.709,,,
68,8476,33,0,MINNESO,537,SHIPSTEAD,0.073,0.856,-38.17955,182,17,0.811,,,
68,4980,33,0,MINNESO,537,JOHNSON  M.,0.049,0.825,-38.61028,188,16,0.814,,,
68,8888,46,0,MISSISS,100,STEPHENS,-0.371,-0.929,-30.47256,147,10,0.813,,,
68,4126,46,0,MISSISS,100,HARRISON,-0.33,-0.604,-48.72031,170,21,0.751,,,
68,7786,34,0,MISSOUR,100,REED  J.A.,-0.196,-0.83,-42.57235,136,21,0.731,,,
68,8790,34,0,MISSOUR,200,SPENCER  S.,0.492,0.137,-58.34534,168,19,0.707,,,
68,9984,64,0,MONTANA,100,WHEELER  B.,-0.121,0.486,-23.33914,132,9,0.838,,,
68,9788,64,0,MONTANA,100,WALSH  T.J.,-0.078,0.096,-34.3904,157,16,0.803,,,
68,4654,35,0,NEBRASK,200,HOWELL  R.,0.282,0.929,-60.93469,166,28,0.693,,,
68,6960,35,0,NEBRASK,200,NORRIS  G.,0.12,0.956,-43.44376,171,20,0.776,,,
68,7023,65,0,NEVADA,200,ODDIE  T.L.,0.413,0.166,-44.39095,192,15,0.794,,,
68,7473,65,0,NEVADA,100,PITTMAN  K.,-0.256,-0.386,-42.37365,151,21,0.755,,,
68,6750,4,0,NEW HAM,200,MOSES  G.H.,0.438,-0.585,-42.83274,169,20,0.776,,,
68,5227,4,0,NEW HAM,200,KEYES  H.W.,0.45,-0.073,-28.72945,172,13,0.846,,,
68,2844,12,0,NEW JER,200,EDGE  W.E.,0.347,-0.58,-50.29082,156,30,0.724,,,
