Contest	Contest number	Party number	Endorsement number	Endorser number	Supplemental search	Endorser	Description	State	Region	DATE	Cal quart	Pol quart	Cal dichot	Pol dichot	Endorsee	Nominee	Count	Adjusted count	Weight	Adjusted weight	Pond	Weighted pond	Home state endorsement	Home region endorsement	Another candidate's home state endorsement	Another candidate's home region endorsement	Geography	Weighted geography	Own group endorsement	Another candidate's group endorsement	Group	Weighted group	Endorser's ideology	Ideological distance	Weighted ideological distance	Breadth	Breadth dummy	Weighted breadth																			
1980D	1	1	47	1796	0	Hugh Carey	Governor	NY	Northeast	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	0	0.0	0	0	0	0	1	0.800	1	0	0	0.000	0.000	0.200	0.160	0.000	0	0.000																			
1980D	1	1	48	5435	0	Jim Hunt	Governor	NC	South	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	1	0	0	0.5	0.400	1	0	0	0.000	-1.000	0.800	0.640	0.000	0	0.000																			
1980D	1	1	49	5465	0	John Carlin	Governor	KS	Plains	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	0	0	0	1	0.800	0	0	0.5	0.400	-1.000	0.800	0.640	0.400	1	0.320																			
1980D	1	1	50	2318	0	John Evans	Governor	ID	West/Plains	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	0	0.0	0	0	0	1	1	0.800	0	0	0.5	0.400	-1.000	0.800	0.640	0.400	1	0.320																			
1980D	1	1	51	5504	0	Joseph Garrahy	Governor	RI	Northeast	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	0	0	1	1	0.800	1	1	0.5	0.400	0.000	0.200	0.160	0.100	1	0.080																			
1980D	1	1	52	2558	0	Julian Carroll	Governor	KY	South	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	0	0.0	0	1	0	0	0.5	0.400	0	0	0.5	0.400	-1.000	0.800	0.640	0.200	1	0.160																			
1980D	1	1	53	5666	0	Paul Tsongas	U.S. Senator	MA	Northeast	7/12/79	3	1	2	1	Kennedy	0	1	1	0.6	0.6	1	0.6	1	1	0	0	0	0.000	1	0	0	0.000	0.440	0.060	0.036	0.000	0	0.000																			
1980D	1	1	54	1731	0	Henry Jackson	U.S. Senator	WA	West  	7/25/79	3	1	2	1	Carter	1	1	1	0.6	0.6	0	0.0	0	0	0	1	1	0.600	0	1	1	0.600	-0.145	0.055	0.033	0.055	1	0.033																			
1980D	1	1	55	5049	0	International Ladies' Garment Workers Union	Labor union		National	8/3/79	3	1	2	1	Carter	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	0	0.5	0.200	1.000	1.200	0.480	0.600	1	0.240																			
1980D	1	1	56	3128	0	Michael Harrington	Author (Socialist)	MO	Plains	8/5/79	3	1	2	1	Kennedy	0	1	1	0.1	0.1	0	0.0	0	0	0	0	1	0.100	1	0	0	0.000	1.000	0.500	0.050	0.000	0	0.000																			
